*******************************************************************************
Ephemeris / WWW_USER Wed Jul 31 16:41:51 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Ganymede (503)                  {source: jup310}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2028-Nov-18 00:00:00.0000 UT      
Step-size       : 17280 minutes
*******************************************************************************
Target pole/equ : IAU_GANYMEDE                    {West-longitude positive}
Target radii    : 2631.2 x 2631.2 x 2631.2 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Jupiter
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.190729.p191020                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-JUL-29. PREDICTS-> 2019-OCT-19
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0), hEcl-Lon,hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
************************************************************************************************************************************************************
$$SOE
 2016-Nov-18 00:00, 2457710.500000000, , ,187.22985, -1.70580, 187.3129,  1.3023, 5.45853464452667,  9.0176645, 187.3128858,  1.3022752,
 2016-Nov-30 00:00, 2457722.500000000, , ,188.11269, -2.08018, 188.2716,  1.3062, 5.44790267213278,  1.4559484, 188.2716251,  1.3061548,
 2016-Dec-12 00:00, 2457734.500000000, , ,189.01728, -2.47388, 189.2577,  1.2998, 5.45785574570383,-10.1534580, 189.2577495,  1.2998266,
 2016-Dec-24 00:00, 2457746.500000000, , ,189.73707, -2.77685, 190.0382,  1.3034, 5.46066504322188,  7.9584920, 190.0382017,  1.3034395,
 2017-Jan-05 00:00, 2457758.500000000, , ,190.60452, -3.14115, 190.9782,  1.3075, 5.44920014624833,  3.0444500, 190.9782062,  1.3074995,
 2017-Jan-17 00:00, 2457770.500000000, , ,191.52365, -3.53828, 191.9783,  1.3002, 5.45767613930412,-10.6280477, 191.9782630,  1.3001872,
 2017-Jan-29 00:00, 2457782.500000000, , ,192.24909, -3.84268, 192.7638,  1.3017, 5.46205344026315,  6.7148723, 192.7637928,  1.3016679,
 2017-Feb-10 00:00, 2457794.500000000, , ,193.10110, -4.19621, 193.6845,  1.3058, 5.45002554407366,  4.5629274, 193.6845298,  1.3057864,
 2017-Feb-22 00:00, 2457806.500000000, , ,194.03378, -4.59496, 194.6966,  1.2977, 5.45683617279087,-10.8550123, 194.6965765,  1.2977367,
 2017-Mar-06 00:00, 2457818.500000000, , ,194.76807, -4.90138, 195.4901,  1.2970, 5.46268313490471,  5.3152234, 195.4901171,  1.2969896,
 2017-Mar-18 00:00, 2457830.500000000, , ,195.60488, -5.24366, 196.3914,  1.3010, 5.45037040650315,  5.9769552, 196.3914076,  1.3010096,
