*******************************************************************************
Ephemeris / WWW_USER Mon Aug  5 19:40:00 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-21 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Nov-21 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.190802.p191024                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-AUG-02. PREDICTS-> 2019-OCT-23
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0), hEcl-Lon,hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
************************************************************************************************************************************************************
$$SOE
 2016-Nov-21 00:00, 2457713.500000000, , , 56.79684, 19.93384,  59.0159, -0.0052, 0.98804736888268, -1.2552675,  59.0158869, -0.0052142,
 2016-Nov-22 00:00, 2457714.500000000, , , 57.84779, 20.15386,  60.0274, -0.0024, 0.98732439792678, -1.2418571,  60.0273948, -0.0023671,
 2016-Nov-23 00:00, 2457715.500000000, , , 58.89542, 20.36641,  61.0329,  0.0005, 0.98661995040375, -1.1918248,  61.0329239,  0.0005037,
 2016-Nov-24 00:00, 2457716.500000000, , , 59.94012, 20.57148,  62.0329,  0.0033, 0.98595394035161, -1.1094818,  62.0329073,  0.0032574,
 2016-Nov-25 00:00, 2457717.500000000, , , 60.98245, 20.76908,  63.0279,  0.0058, 0.98534376275736, -0.9992154,  63.0279477,  0.0057660,
 2016-Nov-26 00:00, 2457718.500000000, , , 62.02311, 20.95924,  64.0188,  0.0079, 0.98480427337452, -0.8654358,  64.0187858,  0.0079177,
 2016-Nov-27 00:00, 2457719.500000000, , , 63.06294, 21.14202,  65.0063,  0.0096, 0.98434775900446, -0.7126455,  65.0062788,  0.0096179,
 2016-Nov-28 00:00, 2457720.500000000, , , 64.10286, 21.31751,  65.9914,  0.0108, 0.98398385381155, -0.5455447,  65.9913812,  0.0107919,
 2016-Nov-29 00:00, 2457721.500000000, , , 65.14389, 21.48580,  66.9751,  0.0114, 0.98371939892171, -0.3691152,  66.9751271,  0.0113865,
 2016-Nov-30 00:00, 2457722.500000000, , , 66.18711, 21.64699,  67.9586,  0.0114, 0.98355826810854, -0.1886510,  67.9586099,  0.0113718,
 2016-Dec-01 00:00, 2457723.500000000, , , 67.23364, 21.80118,  68.9430,  0.0107, 0.98350119260900, -0.0097316,  68.9429577,  0.0107432,
