*******************************************************************************
Ephemeris / WWW_USER Mon Aug  5 20:08:28 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Titan (606)                     {source: sat409l_merged_DE437}
Center body name: Sun (10)                        {source: sat409l_merged_DE437}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2045-Nov-18 00:00:00.0000 UT      
Step-size       : 41760 minutes
*******************************************************************************
Target pole/equ : IAU_TITAN                       {West-longitude positive}
Target radii    : 2575.2 x 2574.8 x 2574.5 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Saturn
Vis. interferer : None
Rel. light bend : Sun                             {source: sat409l_merged_DE437
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.190802.p191024                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-AUG-02. PREDICTS-> 2019-OCT-23
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0), hEcl-Lon,hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
************************************************************************************************************************************************************
$$SOE
 2016-Nov-18 00:00, 2457710.500000000, , ,257.08598,-21.46189, 257.9914,  1.4407, 10.0412446968657, -4.4072980, 257.9914363,  1.4406652,
 2016-Dec-17 00:00, 2457739.500000000, , ,258.01472,-21.54481, 258.8597,  1.4322, 10.0516589201527, -3.7282612, 258.8597242,  1.4321784,
 2017-Jan-15 00:00, 2457768.500000000, , ,258.89670,-21.63561, 259.6847,  1.4070, 10.0559892407375,  1.6391427, 259.6847093,  1.4069679,
 2017-Feb-13 00:00, 2457797.500000000, , ,259.79621,-21.74557, 260.5266,  1.3588, 10.0519581872670,  4.9288557, 260.5265940,  1.3587883,
 2017-Mar-14 00:00, 2457826.500000000, , ,260.75323,-21.85756, 261.4209,  1.3068, 10.0467775123334,  2.7420710, 261.4209229,  1.3067748,
 2017-Apr-12 00:00, 2457855.500000000, , ,261.74471,-21.94678, 262.3448,  1.2734, 10.0486018875004, -2.6742198, 262.3447808,  1.2734076,
 2017-May-11 00:00, 2457884.500000000, , ,262.70607,-22.00710, 263.2385,  1.2612, 10.0577569353625, -4.9385528, 263.2384610,  1.2611503,
 2017-Jun-09 00:00, 2457913.500000000, , ,263.60686,-22.06206, 264.0753,  1.2458, 10.0650171788298, -0.8838193, 264.0753184,  1.2458428,
 2017-Jul-08 00:00, 2457942.500000000, , ,264.49493,-22.13512, 264.9006,  1.2068, 10.0634183959157,  4.0745869, 264.9006455,  1.2067792,
 2017-Aug-06 00:00, 2457971.500000000, , ,265.43006,-22.22032, 265.7692,  1.1519, 10.0568462397336,  4.2946065, 265.7692254,  1.1518834,
 2017-Sep-04 00:00, 2458000.500000000, , ,266.41713,-22.29290, 266.6846,  1.1052, 10.0542469323957, -0.3280349, 266.6846211,  1.1051637,
