*******************************************************************************
Ephemeris / WWW_USER Thu Aug  1 02:15:28 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2028-Nov-18 00:00:00.0000 UT      
Step-size       : 17280 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude positive}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.190731.p191022                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-JUL-31. PREDICTS-> 2019-OCT-21
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2:               
Table format    : Comma Separated Values (spreadsheet)
************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0), hEcl-Lon,hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
************************************************************************************************************************************************************
$$SOE
 2016-Nov-18 00:00, 2457710.500000000, , , 53.62375, 19.23016,  55.9447, -0.0121, 0.99009489137158, -1.0422552,  55.9446927, -0.0120899,
 2016-Nov-30 00:00, 2457722.500000000, , , 66.18711, 21.64699,  67.9586,  0.0114, 0.98355826810854, -0.1886510,  67.9586099,  0.0113718,
 2016-Dec-12 00:00, 2457734.500000000, , , 79.21749, 23.05521,  80.0878, -0.0138, 0.98663132410628,  0.2681475,  80.0877992, -0.0138288,
 2016-Dec-24 00:00, 2457746.500000000, , , 92.72319, 23.42532,  92.4986,  0.0096, 0.98215756588624, -0.8378645,  92.4985960,  0.0096493,
 2017-Jan-05 00:00, 2457758.500000000, , ,105.69049, 22.64699, 104.4532, -0.0085, 0.98285151694226,  0.9542960, 104.4531530, -0.0084881,
 2017-Jan-17 00:00, 2457770.500000000, , ,118.99093, 20.77103, 116.9473,  0.0029, 0.98517813348981, -0.6093654, 116.9472521,  0.0028783,
 2017-Jan-29 00:00, 2457782.500000000, , ,131.42979, 18.00893, 128.9973,  0.0014, 0.98245659248902,  0.4470843, 128.9973085,  0.0014047,
 2017-Feb-10 00:00, 2457794.500000000, , ,143.54688, 14.43834, 141.1636, -0.0067, 0.98918773783870,  0.5642174, 141.1635630, -0.0067276,
 2017-Feb-22 00:00, 2457806.500000000, , ,155.36296, 10.25633, 153.4369,  0.0108, 0.98769139455032, -0.3268508, 153.4369018,  0.0108028,
 2017-Mar-06 00:00, 2457818.500000000, , ,166.39077,  5.81120, 165.2236, -0.0126, 0.99234818046982,  1.4040583, 165.2235569, -0.0125831,
